FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
CRECHES_CONVENIADAS.1982049,1982049,CRECHE IMACULADA CONCEIÇÃO DA SOCIEDADE DE SÃO VICENTE DE PAULO,Creches Conveniadas,31297739,RUA,MOCOCA,62,,Nova Vista,LESTE,POINT (614974.198313556 7800663.54854078)
CRECHES_CONVENIADAS.1982051,1982051,CRECHE CAMINHO À LUZ,Creches Conveniadas,31289591,RUA,TENENTE GARRO,176,,Santa Efigênia,LESTE,POINT (613249.019261641 7796287.6492424)
CRECHES_CONVENIADAS.1981825,1981825,CRECHE PADRE EUSTÁQUIO,Creches Conveniadas,31308846,RUA,HENRIQUE GORCEIX,340,,Padre Eustáquio,NOROESTE,POINT (606785.621406221 7797109.68192003)
CRECHES_CONVENIADAS.1983223,1983223,INSTITUTO EDUCACIONAL INFANTIL EMANUEL,Creches Conveniadas,31374083,RUA,BANDEIRANTES DO OESTE,96,,Nova Cintra,OESTE,POINT (605927.215299889 7793732.72517003)
CRECHES_CONVENIADAS.1982524,1982524,EPRE - EDUCANDARIO PRESBITERIANO RENOVADO,Creches Conveniadas,31281859,RUA,FLOR DA CACHOEIRINHA,95,,Jardim Alvorada,PAMPULHA,POINT (605702.166940796 7799161.75422666)
CRECHES_CONVENIADAS.1982517,1982517,CRECHE COMUNITÁRIA RECANTO FELIZ,Creches Conveniadas,31308528,RUA,CONGONHAL,457,,Santa Terezinha,PAMPULHA,POINT (603907.26927536 7802641.23598824)
CRECHES_CONVENIADAS.1982096,1982096,"CRECHE INFANTIL ""OS TRÊS PORQUINHOS""",Creches Conveniadas,31302058,RUA,DOS FERREIROS,228,,São Gabriel,NORDESTE,POINT (614312.098245811 7804384.81108858)
CRECHES_CONVENIADAS.1982083,1982083,CRECHE COMUNITÁRIA DOM GIUSSANI,Creches Conveniadas,31332038,RUA,GERALDO FERNANDES,190,,Novo Tupi,NORTE,POINT (614042.516858242 7805913.6998877)
CRECHES_CONVENIADAS.1981781,1981781,ESCOLINHA EVANGÉLICA DE EDUCAÇÃO INFANTIL,Creches Conveniadas,31290203,BECO,SAO JOAO,90,,Estrela,CENTRO-SUL,POINT (610820.18108673 7793843.49674256)
CRECHES_CONVENIADAS.1982531,1982531,AMBJA,Creches Conveniadas,31356875,RUA,FLOR D'AGUA,711,,Jardim Alvorada,PAMPULHA,POINT (605633.355370147 7800086.52599205)
CRECHES_CONVENIADAS.1982528,1982528,CCEE - CENTRO CRISTÃO EVANGÉLICO EDUCACIONAL,Creches Conveniadas,31343684,RUA,FLOR D'AGUA,681,,Jardim Alvorada,PAMPULHA,POINT (605643.38231681 7800054.46251848)
