FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_ESTADUAIS.1981830,1981830,ESCOLA ESTADUAL HENRIQUE DINIZ,Estadual,31000370,RUA,TENENTE ANASTACIO DE MOURA,280,,Santa Efigênia,LESTE,POINT (613442.409047915 7796785.10798612)
ESCOLAS_ESTADUAIS.1982141,1982141,ESCOLA ESTADUAL PROFESSORA BENVINDA DE CARVALHO,Estadual,31001741,RUA,FLOR DAS COBRAS,100,,Jardim Alvorada,PAMPULHA,POINT (606157.139645671 7798994.14834236)
ESCOLAS_ESTADUAIS.1982118,1982118,ESCOLA ESTADUAL ISABEL DA SILVA POLCK,Estadual,31002071,RUA,NELSON LEMOS DE CARVALHO,198,,Palmares,NORDESTE,POINT (611992.088723918 7802440.37687253)
ESCOLAS_ESTADUAIS.1981827,1981827,ESCOLA ESTADUAL GOVERNADOR MILTON CAMPOS,Estadual,31002135,RUA,FERNANDES TOURINHO,1020,,Lourdes,CENTRO-SUL,POINT (610481.161444346 7795165.8975717)
ESCOLAS_ESTADUAIS.1982014,1982014,ESCOLA ESTADUAL CECILIA MEIRELES,Estadual,31000990,RUA,JOSE DOS SANTOS LAGE,360,,Teixeira Dias,BARREIRO,POINT (602755.308335524 7789412.37868379)
ESCOLAS_ESTADUAIS.1981875,1981875,ESCOLA ESTADUAL GERALDO TEIXEIRA DA COSTA,Estadual,31001953,RUA,PADRE TIAGO DE ALMEIDA,382,,Camargos,OESTE,POINT (602139.211833106 7795020.51716346)
ESCOLAS_ESTADUAIS.1982028,1982028,ESCOLA ESTADUAL PROFESSORA ADIR ANDRADE ALBANO,Estadual,31246425,RUA,RAIMUNDO GONCALVES FIGUEIREDO,85,,Lagoa,VENDA NOVA,POINT (604859.045853222 7809433.8133788)
ESCOLAS_ESTADUAIS.1982160,1982160,ESCOLA ESTADUAL PROFESSOR NEIDSON RODRIGUES,Estadual,31342432,RUA,LARANJA DA TERRA,60,,Conjunto Paulo VI,NORDESTE,POINT (616967.771351459 7806654.5190961)
ESCOLAS_ESTADUAIS.1981997,1981997,ESCOLA ESTADUAL PROFESSOR MAGALHAES DRUMOND,Estadual,31001422,RUA,FERNANDO ALVES,260,,Nova Cintra,OESTE,POINT (605849.70158694 7793588.83857749)
ESCOLAS_ESTADUAIS.1981942,1981942,ESCOLA ESTADUAL CRISTIANO MACHADO,Estadual,31001554,RUA,FRANCISCO BICALHO,71,,Padre Eustáquio,NOROESTE,POINT (607004.779455919 7796744.66621792)
ESCOLAS_ESTADUAIS.1982124,1982124,ESCOLA ESTADUAL CARLOS CAMPOS,Estadual,31000671,RUA,JORNALISTA OSVALDINA NOBRE,100,,Eymard,NORDESTE,POINT (613435.515522083 7803587.19344134)
ESCOLAS_ESTADUAIS.1981990,1981990,ESCOLA ESTADUAL BUENO BRANDAO,Estadual,31000035,RUA,PARAIBA,1145,,Savassi,CENTRO-SUL,POINT (611633.25431769 7795195.07163341)
ESCOLAS_ESTADUAIS.1981995,1981995,ESCOLA ESTADUAL SAGRADA FAMILIA I,Estadual,31002101,,,,,,,POINT (615752.243197946 7800849.4606989)
ESCOLAS_ESTADUAIS.1981987,1981987,ESCOLA ESTADUAL AFONSO PENA MASCARENHAS,Estadual,31002232,RUA,ODETE RODRIGUES DE OLIVEIRA,180,,Jardim dos Comerciários,VENDA NOVA,POINT (607405.857322475 7810429.91062609)
ESCOLAS_ESTADUAIS.1982137,1982137,ESCOLA ESTADUAL PROFESSOR FRANCISCO BRANT,Estadual,31001104,RUA,ANTONIO PEIXOTO GUIMARAES,165,,Monsenhor Messias,NOROESTE,POINT (607323.86889264 7797996.84134131)
ESCOLAS_ESTADUAIS.1981979,1981979,ESCOLA ESTADUAL PROFESSOR BATISTA SANTIAGO,Estadual,31000701,RUA,CLEBER SOARES ANDRADE,330,,Santa Mônica,VENDA NOVA,POINT (606964.119197696 7807575.21169179)
ESCOLAS_ESTADUAIS.1982006,1982006,ESCOLA ESTADUAL ELPIDIO ARISTIDES DE FREITAS,Estadual,31001597,RUA,MARIA ANTONIA FRAGOLA,50,,Camargos,OESTE,POINT (602987.016560241 7794583.95602422)
ESCOLAS_ESTADUAIS.1981940,1981940,ESCOLA ESTADUAL PROFESSORA MARIA COUTINHO,Estadual,31002445,RUA,LUIZ GONZAGA DE SOUZA,75,,Jaqueline,NORTE,POINT (610653.186248048 7809777.01352141)
ESCOLAS_ESTADUAIS.1981891,1981891,ESCOLA ESTADUAL DULCE PINTO RODRIGUES,Estadual,31000507,RUA,DONA CECILIA,280,,Serra,CENTRO-SUL,POINT (612801.401849879 7795019.54736086)
ESCOLAS_ESTADUAIS.1981727,1981727,ESCOLA ESTADUAL DJANIRA RODRIGUES DE OLIVEIRA,Estadual,31002437,RUA,COSME TORRES PIMENTA,160,,Jardim dos Comerciários,VENDA NOVA,POINT (607855.783570641 7810741.16727071)
ESCOLAS_ESTADUAIS.1981941,1981941,ESCOLA ESTADUAL ODILON BEHRENS,Estadual,31001112,RUA,CONEGO FELICIO,84,,Coração Eucarístico,NOROESTE,POINT (606133.688464493 7796435.49914798)
ESCOLAS_ESTADUAIS.1981926,1981926,ESCOLA ESTADUAL ESTEVAO PINTO,Estadual,31001228,RUA,CONSELHEIRO ROCHA,3907,,Horto,LESTE,POINT (614013.532715542 7798107.88873793)
ESCOLAS_ESTADUAIS.1981702,1981702,ESCOLA ESTADUAL PROFESSOR HILTON ROCHA,Estadual,31000353,AVENIDA,CRISTIANO MACHADO,8200,,Primeiro de Maio,NORTE,POINT (611707.887454413 7803768.06662513)
