FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981818,1981818,ESCOLA MUNICIPAL SANTOS DUMONT,Municipal,31003387,AVENIDA,MEM DE SA,600,,Santa Efigênia,LESTE,POINT (613904.365982908 7796739.15733924)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981746,1981746,ESCOLA MUNICIPAL ANTONIO ALEIXO,Municipal,31003301,AVENIDA,OLINTO MEIRELES,250,,Barreiro,BARREIRO,POINT (603178.847881942 7791147.48550783)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981740,1981740,ESCOLA MUNICIPAL HUGO WERNECK,Municipal,31002887,RUA,OSCAR TROMPOWSKY,1372,,Grajaú,OESTE,POINT (608495.520908655 7794520.6489102)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982142,1982142,ESCOLA MUNICIPAL JOAO PINHEIRO,Municipal,31002984,RUA,PADRE MANOEL BERNARDES,303,,Oeste,NOROESTE,POINT (604657.014422126 7795561.20710759)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981788,1981788,ESCOLA MUNICIPAL PROFESSOR MARIO WERNECK,Municipal,31003182,RUA,ABATI,38,,Santa Maria,OESTE,POINT (603247.717173502 7795267.72684465)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982128,1982128,ESCOLA MUNICIPAL FRANCISCO BRESSANE DE AZEVEDO,Municipal,31002747,RUA,AIURUOCA,501,,São Paulo,NORDESTE,POINT (612593.342706603 7802967.35960672)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981738,1981738,ESCOLA MUNICIPAL MESTRE PARANHOS,Municipal,31003221,RUA,ALCIDA TORRES,25,,Conjunto Santa Maria,CENTRO-SUL,POINT (608865.239829353 7793531.7401997)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981814,1981814,ESCOLA MUNICIPAL JOSE MARIA ALKMIM,Municipal,31003565,RUA,BENIGNO FAGUNDES DA SILVA,33,,Serra Verde,VENDA NOVA,POINT (609529.673471034 7810521.76193003)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982047,1982047,ESCOLA MUNICIPAL PROFESSOR LOURENCO DE OLIVEIRA,Municipal,31005291,RUA,SAO GOTARDO,321,,Santa Tereza,LESTE,POINT (613962.499185194 7797749.09177001)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981711,1981711,ESCOLA MUNICIPAL SOLAR RUBI,Municipal,31358614,AVENIDA,WARLEY APARECIDO MARTINS,854,,Solar do Barreiro,BARREIRO,POINT (603097.815970046 7786942.36144864)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982239,1982239,ESCOLA MUNICIPAL AUGUSTA MEDEIROS,Municipal,31003077,RUA,GENERAL CLARK,28,,São Salvador,NOROESTE,POINT (603119.271656904 7800256.91131061)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981812,1981812,ESCOLA MUNICIPAL CONEGO RAIMUNDO TRINDADE,Municipal,31003514,RUA,BRODOSQUI,51,,Piratininga,VENDA NOVA,POINT (605881.901608916 7809656.12812728)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982042,1982042,ESCOLA MUNICIPAL PROFESSORA EFIGENIA VIDIGAL,Municipal,31003212,RUA,JOSE GUALBERTO,295,,Palmeiras,OESTE,POINT (606446.519305394 7791518.47999298)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981739,1981739,ESCOLA MUNICIPAL DEPUTADO MILTON SALLES,Municipal,31003298,RUA,TEOFILO FILHO,222,,Jardim América,OESTE,POINT (607847.620184788 7793148.99810574)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981756,1981756,ESCOLA MUNICIPAL PROFESSORA ACIDALIA LOTT,Municipal,31003697,RUA,ANTONIO MARIANO DE ABREU,1231,,Paulo VI,NORDESTE,POINT (616172.368964826 7806392.50242883)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981902,1981902,ESCOLA MUNICIPAL MONSENHOR ARTUR DE OLIVEIRA,Municipal,31002631,RUA,FORNACIARI,157,,Caiçaras,NOROESTE,POINT (608321.261481148 7798575.82349117)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982263,1982263,ESCOLA MUNICIPAL POLO DE EDUCAÇÃO INTEGRADA,Municipal,31369446,PRACA,MODESTINO SALES BARBOSA,50,,Flávio Marques Lisboa,BARREIRO,POINT (603996.151231026 7788640.30583698)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981962,1981962,ESCOLA MUNICIPAL FERNANDO DIAS COSTA,Municipal,31217875,RUA,PEDRO ALEXANDRINO MENDONCA,59,,Conjunto Taquaril,LESTE,POINT (617442.995849925 7797017.35071378)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982039,1982039,ESCOLA MUNICIPAL ELOY HERALDO LIMA,Municipal,31217824,RUA,ENGRACIA COSTA E SILVA,56,,Vale do Jatobá,BARREIRO,POINT (600257.534902299 7787691.16903103)
