FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983135,1983135,EMEI JARDIM LEBLON,EMEIS,31358037,RUA,PEDRINOPOLIS,395,,Jardim Leblon,VENDA NOVA,POINT (605879.823656153 7807043.24997105)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983094,1983094,EMEI SANTA BRANCA,EMEIS,31362107,RUA,CAMPISTA,70,,Santa Mônica,PAMPULHA,POINT (608064.947657052 7806835.1023389)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983061,1983061,EMEI PROFESSOR CHRISTOVAM COLOMBO DOS SANTOS,EMEIS,31002755,RUA,VEREADOR NELSON CUNHA,137,,Estoril,OESTE,POINT (607771.024537122 7793008.36673085)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983089,1983089,EMEI SOLAR RUBI,EMEIS,31361933,AVENIDA,WARLEY APARECIDO MARTINS,730,,Solar do Barreiro,BARREIRO,POINT (603055.679705693 7787074.4745574)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983125,1983125,EMEI VILA MARIA,EMEIS,31361925,RUA,ZELIA JACINTA DA COSTA,7,,Jardim Vitória,NORDESTE,POINT (616832.465292407 7804909.53428269)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983090,1983090,EMEI BALEIA,EMEIS,31361690,RUA,JURAMENTO,660,,Paraíso,LESTE,POINT (615200.43129766 7796882.34819315)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983084,1983084,EMEI VILA CLÓRIS,EMEIS,31357774,RUA,DAS GAIVOTAS,838,,Xodó-Marize,NORTE,POINT (610783.363391949 7807596.37738357)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983063,1983063,EMEI ALESSANDRA SALUM CADAR,EMEIS,31232025,RUA,BUDAPESTE,68,,Europa,VENDA NOVA,POINT (607961.19844412 7809851.69831953)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983139,1983139,EMEI PILAR OLHOS D´ÁGUA,EMEIS,31357375,AVENIDA,SIGMUND WEISS,25,,Pilar,BARREIRO,POINT (607631.768718652 7788232.90876148)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983178,1983178,EMEI LINDÉIA,EMEIS,31361976,RUA,DOS PINHOS,91,,Lindéia,BARREIRO,POINT (599257.619085437 7790759.87440495)
