FID,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
CENTRO_SAUDE.417,417,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO MIGUEL ARCANJO,RUA,NOSSA SENHORA DE FATIMA,2640,"32776412, 32776413",NOSSA SENHORA DE FÁTIMA,POINT (614865.101104133 7795372.68723615)
CENTRO_SAUDE.396,396,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TREVO,RUA,CARLOS LACERDA,1010,"32468008, 32468483",TREVO,POINT (603985.905884145 7806708.49676494)
CENTRO_SAUDE.380,380,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE CAFEZAL,RUA,ENGENHEIRO LUCAS JULIO PROENCA,22,,SERRA,POINT (613847.36246129 7794984.5444856)
CENTRO_SAUDE.348,348,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM GUANABARA,RUA,FANNY MARTINS DE BARROS,221,"32776786, 32776787, 32777485",JARDIM GUANABARA,POINT (611757.271815902 7807143.47956961)
CENTRO_SAUDE.286,286,CENTRO DE SAUDE,CS,CENTRO DE SAUDE POMPEIA,RUA,LEOPOLDO GOMES,440,"32775720, 32775764",POMPÉIA,POINT (614676.407892651 7797826.37603902)
CENTRO_SAUDE.212,212,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA RITA DE CASSIA,RUA,CRISTINA,961,32778827,SÃO PEDRO,POINT (611043.231174936 7794088.36689995)
CENTRO_SAUDE.172,172,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,RUA,RUBIA MARA BARBOSA,113,"32775933, 32779142, 32462064",OLARIA,POINT (602197.477003284 7789356.72465498)
CENTRO_SAUDE.522,522,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM FELICIDADE,RUA,CECILIA TRINDADE SILVA,201,"32776766, 32776767, 32776788",JARDIM FELICIDADE,POINT (612296.467574415 7806993.41011581)
CENTRO_SAUDE.462,462,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM EUROPA,RUA,EDIMBURGO,140,"32771812, 32771813",EUROPA,POINT (608187.035627698 7810271.44288174)
CENTRO_SAUDE.316,316,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SERRA VERDE,PCA,FABRICIO SOARES DA SILVA,10,"32775541, 32775507",SERRA VERDE,POINT (609599.995560084 7810819.90623959)
CENTRO_SAUDE.237,237,CENTRO DE SAUDE,CS,CENTRO DE SAUDE RIBEIRO DE ABREU,RUA,DIANOPOLIS,180,"32776660, 32776661, 32469502",RIBEIRO DE ABREU,POINT (615065.776660307 7806087.46451841)
CENTRO_SAUDE.258,258,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA CEMIG,RUA,COLETIVO,68,"32775940, 32775882, 32771366, 32775941",VILA CEMIG,POINT (605401.713112184 7788430.98844293)
